col,term,coef,se,pval,N
all_controls_linear,var_Q,.09339517,.01925413,.00025695,6990
all_controls_linear,d,-.05948259,.02156699,.01539993,6990
all_controls_linear,d_1933,-.02799365,.0144894,.07385321,6990
all_controls_linear,d_1934,-.0121471,.01615691,.46461162,6990
all_controls_linear,d_After,.00281295,.01774939,.87634063,6990
q_deciles,var_Q,.09175608,.01862372,.00022286,7015
q_deciles,d,-.06199599,.01866009,.00503305,7015
q_deciles,d_1933,-.04902654,.01875278,.02039886,7015
q_deciles,d_1934,-.02391545,.01533735,.14124065,7015
q_deciles,d_After,-.0037918,.01666586,.82330921,7015
logasset_deciles,var_Q,.09006553,.01747754,.00014663,7015
logasset_deciles,d,-.0608371,.01949632,.00752072,7015
logasset_deciles,d_1933,-.05627037,.01925328,.01113252,7015
logasset_deciles,d_1934,-.0305869,.01551715,.06880301,7015
logasset_deciles,d_After,-.00551561,.01692367,.749312,7015
netinc_deciles,var_Q,.09187405,.01832931,.00019009,7015
netinc_deciles,d,-.05751329,.01869677,.00821296,7015
netinc_deciles,d_1933,-.05528739,.01919071,.01208863,7015
netinc_deciles,d_1934,-.03011488,.02518792,.2517088,7015
netinc_deciles,d_After,-.00232857,.02649728,.93121712,7015
cash_deciles,var_Q,.09122888,.01748947,.00013066,7015
cash_deciles,d,-.06297399,.01960642,.00627028,7015
cash_deciles,d_1933,-.02825506,.01572548,.09397312,7015
cash_deciles,d_1934,-.02355107,.01593247,.16150263,7015
cash_deciles,d_After,-.00356875,.01642814,.83116026,7015
payout_deciles,var_Q,.0922087,.01809568,.000163,7015
payout_deciles,d,-.06452192,.02020387,.00650353,7015
payout_deciles,d_1933,-.05018977,.01413886,.00320236,7015
payout_deciles,d_1934,-.03146795,.01474465,.05099488,7015
payout_deciles,d_After,-.00981784,.01542356,.53468901,7015
booklev_deciles,var_Q,.09027691,.01735882,.00013443,7015
booklev_deciles,d,-.06027491,.01804009,.00484845,7015
booklev_deciles,d_1933,-.05789166,.01908018,.00892657,7015
booklev_deciles,d_1934,-.01697433,.01727474,.34247659,7015
booklev_deciles,d_After,-.00751527,.01959586,.70710016,7015
marketlev_deciles,var_Q,.09097041,.01786414,.00016399,7015
marketlev_deciles,d,-.0600063,.01857518,.00604315,7015
marketlev_deciles,d_1933,-.0490969,.0178616,.01568374,7015
marketlev_deciles,d_1934,-.01661357,.01602159,.31733919,7015
marketlev_deciles,d_After,-.0040957,.01881416,.83080944,7015
logltl_deciles,var_Q,.08988892,.01745692,.00014771,7015
logltl_deciles,d,-.06064704,.02049215,.01034889,7015
logltl_deciles,d_1933,-.0434467,.01646426,.01944784,7015
logltl_deciles,d_1934,-.01750734,.01604925,.29375747,7015
logltl_deciles,d_After,-.00327104,.01838685,.86134917,7015
