col,term,b,se,df,r2,N
omit_repayer,var_Q, .084698633525754685, .013670447890578998,                  14, .229283979287448592,                5853
omit_repayer,d,-.099247657036967529, .032827582809629302,                  14, .229283979287448592,                5853
omit_repayer,d_year_1926, .059135287181506263,  .02168178884881744,                  14, .229283979287448592,                5853
omit_repayer,d_year_1927,  .02858473533712633, .027970397116114615,                  14, .229283979287448592,                5853
omit_repayer,d_year_1928, .059949816165722661, .029697229079848907,                  14, .229283979287448592,                5853
omit_repayer,d_year_1929, .042620083850871994, .029402347795304151,                  14, .229283979287448592,                5853
omit_repayer,d_year_1930,-.015442775183792879, .021673198747370816,                  14, .229283979287448592,                5853
omit_repayer,d_year_1931, .008165604084682488, .013548710854004255,                  14, .229283979287448592,                5853
omit_repayer,d_year_1933,-.062698629252161187, .012722005818649375,                  14, .229283979287448592,                5853
omit_repayer,d_year_1934,-.035016601792201257, .009710064473993385,                  14, .229283979287448592,                5853
omit_repayer,d_year_1935, .029091211829609907, .009620093049909696,                  14, .229283979287448592,                5853
omit_repayer,d_year_1936, .006897863608576575, .011539283388620836,                  14, .229283979287448592,                5853
omit_repayer,d_year_1937, .011121666802056928, .015573520872156537,                  14, .229283979287448592,                5853
omit_repayer,d_year_1938, .009384662753464834, .018655120145651974,                  14, .229283979287448592,                5853
omit_repayer,d_year_1939,-.021227737490845826, .015476657219583514,                  14, .229283979287448592,                5853
omit_repayer,d_year_1940,-.011492893558148925, .016215058662566808,                  14, .229283979287448592,                5853
balanced_1930_36,var_Q, .079833593665700864, .015925772689663404,                  14, .211258121606380245,                6064
balanced_1930_36,d,-.037381597022556598, .023039489257992624,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1926, .020603163064204778, .018416707974680264,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1927,-.031520681008608463, .021846602473241692,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1928, .008021714979223783, .025468182806515176,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1929,  .03241296968046771, .025598585271560625,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1930,-.016051883908595171, .018258241543514429,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1931,-.004289522091703347, .009205564877328477,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1933,-.035020584012500182, .010486295952770341,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1934,-.033168920809255299, .006468128508641093,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1935, .014893577067338367, .004821700382548423,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1936,-.008689705534855787, .008916194235097548,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1937, .016643113991599012, .012792517435076827,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1938, .002449195949332393,  .01800297426814473,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1939,-.018733523602353922, .011170702972149045,                  14, .211258121606380245,                6064
balanced_1930_36,d_year_1940,-.008019094041270472, .011845265509693947,                  14, .211258121606380245,                6064
balanced_1929_40,var_Q, .080428124795093439,  .01676508091311724,                  14, .219763991415759419,                5435
balanced_1929_40,d,-.033952837258707305, .024436295643466759,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1926, .001645957143114363, .019046007598703316,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1927,-.045460130236313262, .019600424951751797,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1928, .001605874809652045, .028459050885432786,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1929, .050866419011970539,   .0275536440420657,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1930,-.033130116723967033, .015015179804826423,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1931, .006141730999415957, .010242325656922263,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1933,-.024792128511637757, .006089731098072552,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1934,-.028728781378432176, .006945225773892246,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1935,  .01840560032267221, .006393751083602723,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1936, .011074399684279475,  .01119722790440651,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1937, .021482210911933558, .014182878025242558,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1938, .002864067726375266, .014607290912761278,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1939,-.016169449938942107, .011925981821646751,                  14, .219763991415759419,                5435
balanced_1929_40,d_year_1940, .003770025330472788,  .01119020243901908,                  14, .219763991415759419,                5435
balanced_1926_40,var_Q, .074708987854585671, .017000069201215762,                  14,  .18854276448884344,                3630
balanced_1926_40,d,-.069241449914574829,  .02139169658879414,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1926, .029304258315040375, .018681794323132269,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1927,-.009789054237891783, .021699840284707107,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1928, .037822821196250217, .031801304494158841,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1929, .093301758391468675, .037330764244448519,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1930,-.022744224010384707, .015763143741912469,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1931, .014652956310166141,  .01311190000124313,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1933, -.03215506632535288, .015589514143375293,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1934, .005380613487551002, .010329171397673894,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1935, .012998603906683353, .009721224635108733,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1936, .027969917951162045, .019377870900672941,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1937,  .01699690338367086, .013674539365815981,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1938,-.004057412530572139, .013915400654551564,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1939,-.000191111048421746,  .01202196060406246,                  14,  .18854276448884344,                3630
balanced_1926_40,d_year_1940, .002771191713730044, .014835245967261462,                  14,  .18854276448884344,                3630
