col,term,b,se,df,r2,N
small,var_Q, .095128079806939728, .016639786360065616,                  14, .240153616951960358,                7066
small,d, .011701909276220442, .024211783289465875,                  14, .240153616951960358,                7066
small,d_x,-.103397462028683662,  .02901333587354615,                  14, .240153616951960358,                7066
small,y1933_x, .010344780070584881, .017599057582338623,                  14, .240153616951960358,                7066
small,y1934_x,-.000420715165732089, .014571216610564876,                  14, .240153616951960358,                7066
small,After_x,-.009411707823635138, .014700778609249501,                  14, .240153616951960358,                7066
small,d_1933, -.03597351529247908, .021502519580848707,                  14, .240153616951960358,                7066
small,d_1934,-.015727181182608182, .020506530927945799,                  14, .240153616951960358,                7066
small,d_After,-.033687037052655563, .023134374950941894,                  14, .240153616951960358,                7066
small,d_1933_x,-.045136632063163866, .039184971506838369,                  14, .240153616951960358,                7066
small,d_1934_x,-.052947221788160255, .027841673868243239,                  14, .240153616951960358,                7066
small,d_After_x, .045015629704080434, .026874228122551878,                  14, .240153616951960358,                7066
lowcash,var_Q, .096448379215588284, .016632711939373629,                  14, .239444239729395436,                7066
lowcash,d,-.068035323051381214, .023459619409016624,                  14, .239444239729395436,                7066
lowcash,d_x, .041657212634309111,  .03819559149946429,                  14, .239444239729395436,                7066
lowcash,y1933_x,  -.0527504333720284, .018949816012580483,                  14, .239444239729395436,                7066
lowcash,y1934_x,-.022528568972714737, .016103939308273856,                  14, .239444239729395436,                7066
lowcash,After_x,-.021671371795787275,  .01533264262636271,                  14, .239444239729395436,                7066
lowcash,d_1933,-.085645302186108344, .021990331223055357,                  14, .239444239729395436,                7066
lowcash,d_1934,-.052626803547284773, .018757115074613567,                  14, .239444239729395436,                7066
lowcash,d_After,-.013082320910159616, .015631067255311326,                  14, .239444239729395436,                7066
lowcash,d_1933_x, .068087928086319083, .033358790164852256,                  14, .239444239729395436,                7066
lowcash,d_1934_x, .027218390315169073, .029609465999279598,                  14, .239444239729395436,                7066
lowcash,d_After_x, .022543178129387068, .030772373780997599,                  14, .239444239729395436,                7066
highlev,var_Q, .095921081687661572, .016692033852343524,                  14, .238878837076419437,                7066
highlev,d,-.048056372588543589, .019176873867926107,                  14, .238878837076419437,                7066
highlev,d_x,  .01043884981474226, .058457527058204506,                  14, .238878837076419437,                7066
highlev,y1933_x,-.034410448029558463, .032399836523515343,                  14, .238878837076419437,                7066
highlev,y1934_x,-.032754687271556449, .027600815991755526,                  14, .238878837076419437,                7066
highlev,After_x,-.008509207931553023, .025165504657313532,                  14, .238878837076419437,                7066
highlev,d_1933,-.060971987952927735, .015812878348146934,                  14, .238878837076419437,                7066
highlev,d_1934,-.058361748268000085, .012535652228705722,                  14, .238878837076419437,                7066
highlev,d_After, 2.8279209492735e-06, .015876645738316417,                  14, .238878837076419437,                7066
highlev,d_1933_x, .011679831243705117, .056725375000071625,                  14, .238878837076419437,                7066
highlev,d_1934_x, .060497857676956236, .047718567102454937,                  14, .238878837076419437,                7066
highlev,d_After_x,-.016899068351738898, .043775516867217076,                  14, .238878837076419437,                7066
