col,term,b,se,df,r2,N
annual,var_Q, .111060789326867249, .018375859907909638,                 557, .788383291298935696,                7074
annual,d, .022376284426569602,  .02725274911672329,                 557, .788383291298935696,                7074
annual,d_year_1926,-.010270704713765786, .029620689351702839,                 557, .788383291298935696,                7074
annual,d_year_1927,-.022572992212956194, .036760274918634803,                 557, .788383291298935696,                7074
annual,d_year_1928,-.012283984707819563, .038170545355981564,                 557, .788383291298935696,                7074
annual,d_year_1929, .005066668557094011, .039390073063490731,                 557, .788383291298935696,                7074
annual,d_year_1930,-.008151074092775731, .029792801622104414,                 557, .788383291298935696,                7074
annual,d_year_1931,-.015705164491250104, .015324221473966285,                 557, .788383291298935696,                7074
annual,d_year_1933,  .02815646857295024, .011182384355757684,                 557, .788383291298935696,                7074
annual,d_year_1934, .036136064471111957, .015065061544120437,                 557, .788383291298935696,                7074
annual,d_year_1935, .007706641967921972, .017274704622262736,                 557, .788383291298935696,                7074
annual,d_year_1936, .015430630294864618,  .02851154670898623,                 557, .788383291298935696,                7074
annual,d_year_1937, -.02393912864399372, .032227628419003916,                 557, .788383291298935696,                7074
annual,d_year_1938,-.012244543442997725, .020024418345713214,                 557, .788383291298935696,                7074
annual,d_year_1939,-.022300816133584301, .023577261639520723,                 557, .788383291298935696,                7074
annual,d_year_1940,-.032971147177173692, .029135592613044603,                 557, .788383291298935696,                7074
Q1,var_Q, .023214048201286062, .003551050775635045,                 557, .746524912714948585,                6935
Q1,d,-.000291756633373812, .007870982703087155,                 557, .746524912714948585,                6935
Q1,d_year_1926, .000962954965630459, .008241966997481535,                 557, .746524912714948585,                6935
Q1,d_year_1927, .003348333027727926, .010857327530580378,                 557, .746524912714948585,                6935
Q1,d_year_1928, .000087258682523356, .009130443560715006,                 557, .746524912714948585,                6935
Q1,d_year_1929, .001097057880506957, .009125557405556897,                 557, .746524912714948585,                6935
Q1,d_year_1930, .005323325395521163, .010446804164721135,                 557, .746524912714948585,                6935
Q1,d_year_1931, .003437427229963648, .005952690852931468,                 557, .746524912714948585,                6935
Q1,d_year_1933, .009615025230935834, .004906020359742925,                 557, .746524912714948585,                6935
Q1,d_year_1934,    .010876303966005, .004727296078855057,                 557, .746524912714948585,                6935
Q1,d_year_1935,  .00892684047902345,  .00514888935432318,                 557, .746524912714948585,                6935
Q1,d_year_1936, .005334524847197519, .004565117710745937,                 557, .746524912714948585,                6935
Q1,d_year_1937,-.000212499588664603, .007143513001347724,                 557, .746524912714948585,                6935
Q1,d_year_1938, -.00233735294182382, .005819805825848963,                 557, .746524912714948585,                6935
Q1,d_year_1939, .001424081820434602, .005823102990742815,                 557, .746524912714948585,                6935
Q1,d_year_1940, .003075861643502205, .006500924726715995,                 557, .746524912714948585,                6935
Q2,var_Q, .025219108857501123, .003461616578342507,                 557, .767083252786166403,                6993
Q2,d, .003031657061509269, .007222363867894926,                 557, .767083252786166403,                6993
Q2,d_year_1926,-.003222287336254836, .007789062036100483,                 557, .767083252786166403,                6993
Q2,d_year_1927,-.001814291159685681,  .00965646286808359,                 557, .767083252786166403,                6993
Q2,d_year_1928, .000269815359557861, .008939222891665637,                 557, .767083252786166403,                6993
Q2,d_year_1929,-.004974903620454931, .009054392170895311,                 557, .767083252786166403,                6993
Q2,d_year_1930, -.00464065088971902, .007797348376915625,                 557, .767083252786166403,                6993
Q2,d_year_1931,-.002192319450500137, .004906653567224476,                 557, .767083252786166403,                6993
Q2,d_year_1933, .009678940102630706, .003560443358278874,                 557, .767083252786166403,                6993
Q2,d_year_1934, .009626856768503727, .003755044065898789,                 557, .767083252786166403,                6993
Q2,d_year_1935,  .00227607661556354, .004074809296190044,                 557, .767083252786166403,                6993
Q2,d_year_1936, .005932032361139717, .005575574383859499,                 557, .767083252786166403,                6993
Q2,d_year_1937,  .00329584953694803, .006518506584649202,                 557, .767083252786166403,                6993
Q2,d_year_1938, .001006885620169027, .004755741624013958,                 557, .767083252786166403,                6993
Q2,d_year_1939,-.000507370641533502, .005418764562919987,                 557, .767083252786166403,                6993
Q2,d_year_1940,-.004984807676380946,  .00618605353626986,                 557, .767083252786166403,                6993
Q3,var_Q,  .02823074664374384, .004176870560813391,                 555,   .7788587558230744,                7029
Q3,d, .003106702781986949, .006535137015127799,                 555,   .7788587558230744,                7029
Q3,d_year_1926,-.002459796470843418,  .00780762213015601,                 555,   .7788587558230744,                7029
Q3,d_year_1927,-.003701635327761741, .008736888676217238,                 555,   .7788587558230744,                7029
Q3,d_year_1928,-.001735752893139494, .007582426097764606,                 555,   .7788587558230744,                7029
Q3,d_year_1929, .002773791452593757, .009122921914831423,                 555,   .7788587558230744,                7029
Q3,d_year_1930,-.001732157698302356, .007378304844342822,                 555,   .7788587558230744,                7029
Q3,d_year_1931,-.007347263447044436, .004710979980016483,                 555,   .7788587558230744,                7029
Q3,d_year_1933, .002918235981328922, .001858829741983467,                 555,   .7788587558230744,                7029
Q3,d_year_1934, .005221038656973769, .002294084538636409,                 555,   .7788587558230744,                7029
Q3,d_year_1935,  .00203824076091054, .003741317408484814,                 555,   .7788587558230744,                7029
Q3,d_year_1936, .002891448862225044, .006282205138895888,                 555,   .7788587558230744,                7029
Q3,d_year_1937,-.006808088267192139, .008611113376303214,                 555,   .7788587558230744,                7029
Q3,d_year_1938,-.002319765006302296, .004197585064640077,                 555,   .7788587558230744,                7029
Q3,d_year_1939,-.002865150715236882, .004505197003011359,                 555,   .7788587558230744,                7029
Q3,d_year_1940, .000290098261360982, .005771540559529879,                 555,   .7788587558230744,                7029
