col,term,b,se,df,r2,N
cashrat_lag_pos,var_Q, .114518980828955966, .023484562849644064,                  14, .800353326581973779,                4367
cashrat_lag_pos,d, .026722398103169741, .027192703625475868,                  14, .800353326581973779,                4367
cashrat_lag_pos,d_1933,  .06410489779197058, .018103101912229393,                  14, .800353326581973779,                4367
cashrat_lag_pos,d_1934, .083239138275200075, .023884136719002795,                  14, .800353326581973779,                4367
cashrat_lag_pos,d_After,-.010878837930237363, .028586729070324043,                  14, .800353326581973779,                4367
cashrat_lag_zero,var_Q, .056991641605772352, .020404713418219551,                  13, .437486556942418337,                2594
cashrat_lag_zero,d, .007234494648850056, .016803859635691885,                  13, .437486556942418337,                2594
cashrat_lag_zero,d_1933, .002427204691267704, .006786958411731218,                  13, .437486556942418337,                2594
cashrat_lag_zero,d_1934, .018171374505005736, .008924234924834275,                  13, .437486556942418337,                2594
cashrat_lag_zero,d_After, .010220930678149638, .007256860870287984,                  13, .437486556942418337,                2594
cashrat_divind_pos,var_Q, .137824381806996743, .029941829136291863,                  14, .801769089353152609,                2967
cashrat_divind_pos,d, .026882728511954179, .045688970925060884,                  14, .801769089353152609,                2967
cashrat_divind_pos,d_1933, .081110812541883126, .020122177457872474,                  14, .801769089353152609,                2967
cashrat_divind_pos,d_1934, .079707532370726447, .023138435817706374,                  14, .801769089353152609,                2967
cashrat_divind_pos,d_After, .016518662358050565, .033747723153158382,                  14, .801769089353152609,                2967
cashrat_divind_zero,var_Q, .078831734602363743, .014174240999962754,                  14, .456334533447876334,                3878
cashrat_divind_zero,d, .010631183570073031, .015663984368731235,                  14, .456334533447876334,                3878
cashrat_divind_zero,d_1933, .004029019274375595, .013667299682513278,                  14, .456334533447876334,                3878
cashrat_divind_zero,d_1934, .021659057162875431, .015140575695369555,                  14, .456334533447876334,                3878
cashrat_divind_zero,d_After, -.00865626743487575, .014375640640685004,                  14, .456334533447876334,                3878
divgr,var_Q, .142673838094061978, .028494947063515224,                  13, .201922636737306815,                6063
divgr,d,  .01807035352675514, .048191906538406652,                  13, .201922636737306815,                6063
divgr,d_1933,-.000750056780144163, .010662263088792744,                  13, .201922636737306815,                6063
divgr,d_1934, .186079289661902569, .056761461053719764,                  13, .201922636737306815,                6063
divgr,d_After, .019752078226654937,  .03495948724646538,                  13, .201922636737306815,                6063
divbeq,var_Q, .016475005808631309, .015322267132110315,                  14, .140093651294548427,                7073
divbeq,d,-.055160469059831331, .025743082693195848,                  14, .140093651294548427,                7073
divbeq,d_1933, .037267878176130254, .017972563238761154,                  14, .140093651294548427,                7073
divbeq,d_1934, .050117131246485438, .016947583963519898,                  14, .140093651294548427,                7073
divbeq,d_After, .024734607721068735, .020365029023739021,                  14, .140093651294548427,                7073
divy,var_Q, .023584229498201138, .004349363832735121,                  14, .152077579544850794,                7066
divy,d,-.027922350437867585, .013619137125557798,                  14, .152077579544850794,                7066
divy,d_1933, .031341814447515159, .015928642973598112,                  14, .152077579544850794,                7066
divy,d_1934, .026523919700997288, .015490215080484452,                  14, .152077579544850794,                7066
divy,d_After, .024815556018196849, .017191507288200635,                  14, .152077579544850794,                7066
divshare,Q,  .07744810960594542, .041629952144379298,                  14, .182860645465903748,                4807
divshare,d,-.441922841145500178, .205488210721203268,                  14, .182860645465903748,                4807
divshare,d_1933, .517207234235398938, .243340300446424906,                  14, .182860645465903748,                4807
divshare,d_1934, .340631577113814754, .208117627323257476,                  14, .182860645465903748,                4807
divshare,d_After, .382116541018276634, .271414700415670451,                  14, .182860645465903748,                4807
