col,term,b,se,df,r2,N
dind,var_Q, .095651393487335784, .016545361136995673,                  14,    .238550067129221,                7074
dind,dind,-.038817146615658701, .018925193779428067,                  14,    .238550067129221,                7074
dind,d_1933, -.04492658080055225, .012096111103847992,                  14,    .238550067129221,                7074
dind,d_1934,-.028602237814563128, .008816599571618733,                  14,    .238550067129221,                7074
dind,d_After, -.00671439939219106, .008443065848692128,                  14,    .238550067129221,                7074
dind2,var_Q, .095621288639044483, .016590200207406276,                  14, .238642325876154193,                7074
dind2,dind,-.033538981264194849, .019341277126631414,                  14, .238642325876154193,                7074
dind2,dind2,-.009364755713972044, .013929228642952443,                  14, .238642325876154193,                7074
dind2,d_1933,-.033975448752470515, .017106322402986925,                  14, .238642325876154193,                7074
dind2,d_1934,-.025175030923896398, .012800894022729761,                  14, .238642325876154193,                7074
dind2,d_After, -.00588099142948412,   .0116717538820829,                  14, .238642325876154193,                7074
dind2,d2_1933,-.022459476213472301, .018290716923090294,                  14, .238642325876154193,                7074
dind2,d2_1934, -.00722162353948006, .013548668302851473,                  14, .238642325876154193,                7074
dind2,d2_After,-.002034387601923849, .008549439330232996,                  14, .238642325876154193,                7074
dind3,var_Q, .095584526254949051, .016613960727597181,                  14, .238859206778809452,                7074
dind3,dind,-.035305444952139928,  .01940641637480776,                  14, .238859206778809452,                7074
dind3,dind2,-.022105565328697122, .016084580263694474,                  14, .238859206778809452,                7074
dind3,dind3, .021009466270384976, .021573550623938328,                  14, .238859206778809452,                7074
dind3,d_1933,-.034589498173811239, .017417347707649588,                  14, .238859206778809452,                7074
dind3,d_1934,-.025731105406048119,  .01315814013022538,                  14, .238859206778809452,                7074
dind3,d_After, -.00644434114434997, .011875455580912698,                  14, .238859206778809452,                7074
dind3,d2_1933,-.006877774033878765, .031740929613582873,                  14, .238859206778809452,                7074
dind3,d2_1934, .018440650092951233, .024646223618321899,                  14, .238859206778809452,                7074
dind3,d2_After, .002514785037329605, .018025092713455548,                  14, .238859206778809452,                7074
dind3,d3_1933,-.029978105682768968, .036725775163070712,                  14, .238859206778809452,                7074
dind3,d3_1934,-.055063601259331629, .035787363998819849,                  14, .238859206778809452,                7074
dind3,d3_After,-.004023545841513617, .033464661649091815,                  14, .238859206778809452,                7074
