col,term,b,se,df,r2,N
industry_year_fe,var_Q, .090079310272650759,  .01733493378313233,                  14, .311406377276274404,                7015
industry_year_fe,d,-.059087889916298687, .018805537002517896,                  14, .311406377276274404,                7015
industry_year_fe,d_1933,-.058823653280747366, .016760470166256487,                  14, .311406377276274404,                7015
industry_year_fe,d_1934,-.036489553061342273, .013251867619851239,                  14, .311406377276274404,                7015
industry_year_fe,d_After,-.013120392570143476, .015516493087243552,                  14, .311406377276274404,                7015
all_controls_linear,var_Q_before,-.012254167692079794, .017512216483702939,                  14, .243848644156829053,                7049
all_controls_linear,var_Q_1933,-.001984354760590946, .010874160284402702,                  14, .243848644156829053,                7049
all_controls_linear,var_Q_1934,-.009193645432821565, .008909022873088366,                  14, .243848644156829053,                7049
all_controls_linear,var_Q_after,                   0, 4.5838789822688e-10,                  14, .243848644156829053,                7049
all_controls_linear,var_logasset_before, .008166090073300757, .005104835361272782,                  14, .243848644156829053,                7049
all_controls_linear,var_logasset_1933, .003564127862669544, .004853095368698287,                  14, .243848644156829053,                7049
all_controls_linear,var_logasset_1934, .003948315637763208, .004744345186719959,                  14, .243848644156829053,                7049
all_controls_linear,var_logasset_after,                   0, 1.6320723520464e-11,                  14, .243848644156829053,                7049
all_controls_linear,var_netinc_before,-.025889492819144481, .203750196548036222,                  14, .243848644156829053,                7049
all_controls_linear,var_netinc_1933,-.084288169290612155, .093220553468597311,                  14, .243848644156829053,                7049
all_controls_linear,var_netinc_1934, .074916062143529097, .065229331965596604,                  14, .243848644156829053,                7049
all_controls_linear,var_netinc_after,                   0, 3.4590147326481e-10,                  14, .243848644156829053,                7049
all_controls_linear,var_cash_before,-.026735806800463658, .071717567935053281,                  14, .243848644156829053,                7049
all_controls_linear,var_cash_1933, .267711633013396955, .100705620824267678,                  14, .243848644156829053,                7049
all_controls_linear,var_cash_1934,-.027281125254929001, .053730658274626066,                  14, .243848644156829053,                7049
all_controls_linear,var_cash_after,                   0, 1.0326028807692e-09,                  14, .243848644156829053,                7049
all_controls_linear,var_payout_before,-.040180925944925117, .027847117512861695,                  14, .243848644156829053,                7049
all_controls_linear,var_payout_1933, .004001564791213034, .010338331615521735,                  14, .243848644156829053,                7049
all_controls_linear,var_payout_1934,-.011894968135332425,  .00854321557106083,                  14, .243848644156829053,                7049
all_controls_linear,var_payout_after,                   0, 1.7508982418244e-10,                  14, .243848644156829053,                7049
all_controls_linear,var_booklev_before, .056162496234451922, .099489799484733188,                  14, .243848644156829053,                7049
all_controls_linear,var_booklev_1933,-.084161245444437954, .047613691362379661,                  14, .243848644156829053,                7049
all_controls_linear,var_booklev_1934,-.032086675289463323, .028287814088944867,                  14, .243848644156829053,                7049
all_controls_linear,var_booklev_after,                   0, 1.2442905970702e-10,                  14, .243848644156829053,                7049
all_controls_linear,var_marketlev_before,-.062463360303660009, .076561280314207503,                  14, .243848644156829053,                7049
all_controls_linear,var_marketlev_1933, .100446569722286327, .046605159525528662,                  14, .243848644156829053,                7049
all_controls_linear,var_marketlev_1934, .016343988043674148, .030417778397701142,                  14, .243848644156829053,                7049
all_controls_linear,var_marketlev_after,                   0, 4.4771522478765e-11,                  14, .243848644156829053,                7049
all_controls_linear,var_logltl_before,-.000249540169283838, .001593930961438618,                  14, .243848644156829053,                7049
all_controls_linear,var_logltl_1933,-.000807743785769617, .000743025241221161,                  14, .243848644156829053,                7049
