date,usd_gbp_cents,usd_frf_cents,cpiaucns,gold_purchase_usd,gold_official_usd
1930-12-31,485.6610,3.9292,16.1,20.67,20.67
1931-01-31,485.4684,3.9207,15.9,20.67,20.67
1931-02-28,485.8389,3.9197,15.7,20.67,20.67
1931-03-31,485.8293,3.9138,15.6,20.67,20.67
1931-04-30,485.9863,3.9104,15.5,20.67,20.67
1931-05-31,486.4039,3.9114,15.3,20.67,20.67
1931-06-30,486.4863,3.9158,15.1,20.67,20.67
1931-07-31,485.6052,3.9215,15.1,20.67,20.67
1931-08-31,485.7725,3.9196,15.1,20.67,20.67
1931-09-30,453.1260,3.9257,15.0,20.67,20.67
1931-10-31,388.9291,3.9383,14.9,20.67,20.67
1931-11-30,371.9934,3.9201,14.7,20.67,20.67
1931-12-31,337.3707,3.9229,14.6,20.67,20.67
1932-01-31,343.1210,3.9294,14.3,20.67,20.67
1932-02-29,345.6316,3.9379,14.1,20.67,20.67
1932-03-31,363.9304,3.9325,14.0,20.67,20.67
1932-04-30,374.9994,3.9430,13.9,20.67,20.67
1932-05-31,367.5140,3.9468,13.7,20.67,20.67
1932-06-30,364.6648,3.9363,13.6,20.67,20.67
1932-07-31,354.9564,3.9207,13.6,20.67,20.67
1932-08-31,347.5721,3.9187,13.5,20.67,20.67
1932-09-30,347.1062,3.9179,13.4,20.67,20.67
1932-10-31,339.6163,3.9264,13.3,20.67,20.67
1932-11-30,327.5267,3.9190,13.2,20.67,20.67
1932-12-31,327.8679,3.9033,13.1,20.67,20.67
1933-01-31,336.1385,3.9034,12.9,20.67,20.67
1933-02-28,342.2073,3.9228,12.7,20.67,20.67
1933-03-31,343.2800,3.9361,12.6,20.67,20.67
1933-04-30,357.9313,4.1019,12.6,20.67,20.67
1933-05-31,393.2381,4.5927,12.6,20.67,20.67
1933-06-30,413.5581,4.8035,12.7,20.67,20.67
1933-07-31,464.9915,5.4588,13.1,20.67,20.67
1933-08-31,450.2670,5.3749,13.2,20.67,20.67
1933-09-30,466.4722,5.7724,13.2,30.77,20.67
1933-10-31,466.8290,5.8167,13.2,30.82,20.67
1933-11-30,514.9737,6.2678,13.2,33.34,20.67
1933-12-31,511.5890,6.1216,13.2,34.03,20.67
1934-01-31,504.9336,6.2110,13.2,34.27,20.67
1934-02-28,503.2596,6.4648,13.3,35.00,35.00
1934-03-31,509.3917,6.5801,13.3,35.00,35.00
1934-04-30,515.3425,6.6161,13.3,35.00,35.00
1934-05-31,510.6279,6.6131,13.3,35.00,35.00
1934-06-30,504.8046,6.5993,13.4,35.00,35.00
1934-07-31,504.0705,6.5939,13.4,35.00,35.00
1934-08-31,506.5076,6.6592,13.4,35.00,35.00
1934-09-30,499.4056,6.6714,13.6,35.00,35.00
1934-10-31,494.0809,6.6247,13.5,35.00,35.00
1934-11-30,498.9022,6.5886,13.5,35.00,35.00
1934-12-31,494.5793,6.5971,13.4,35.00,35.00
1935-01-31,489.2457,6.5820,13.6,35.00,35.00
1935-02-28,487.3466,6.5936,13.7,35.00,35.00
1935-03-31,477.6211,6.6232,13.7,35.00,35.00
1935-04-30,483.6812,6.5970,13.8,35.00,35.00
1935-05-31,488.7755,6.5883,13.8,35.00,35.00
1935-06-30,493.4922,6.6121,13.7,35.00,35.00
1935-07-31,495.7659,6.6242,13.7,35.00,35.00
1935-08-31,496.9880,6.6262,13.7,35.00,35.00
1935-09-30,493.0654,6.5908,13.7,35.00,35.00
1935-10-31,490.7834,6.5892,13.7,35.00,35.00
1935-11-30,492.4950,6.5862,13.8,35.00,35.00
1935-12-31,492.8772,6.5986,13.8,35.00,35.00
1936-01-31,496.2696,6.6251,13.8,35.00,35.00
1936-02-29,500.0469,6.6810,13.8,35.00,35.00
1936-03-31,497.0675,6.6338,13.7,35.00,35.00
1936-04-30,494.2682,6.5898,13.7,35.00,35.00
1936-05-31,496.9742,6.5858,13.7,35.00,35.00
1936-06-30,501.9239,6.5934,13.8,35.00,35.00
1936-07-31,502.2475,6.6202,13.9,35.00,35.00
1936-08-31,502.5945,6.5853,14.0,35.00,35.00
1936-09-30,503.6278,6.3409,14.0,35.00,35.00
1936-10-31,489.8429,4.6662,14.0,35.00,35.00
1936-11-30,488.7994,4.6472,14.0,35.00,35.00
1936-12-31,490.7801,4.6675,14.0,35.00,35.00
