col,term,coef,se,pval,N
all_controls_linear,var_Q,.09339517,.01933431,.00026682,6990
all_controls_linear,d,-.05948259,.02158522,.01547056,6990
all_controls_linear,d_1933,-.02799365,.01445897,.07331361,6990
all_controls_linear,d_1934,-.0121471,.01615862,.46465784,6990
all_controls_linear,d_After,.00281295,.01771663,.87611401,6990
q_deciles,var_Q,.09175608,.01859698,.00021993,7015
q_deciles,d,-.06199599,.01864731,.0050103,7015
q_deciles,d_1933,-.04902654,.01872223,.02023003,7015
q_deciles,d_1934,-.02391545,.01529651,.14026174,7015
q_deciles,d_After,-.0037918,.01663766,.82301516,7015
logasset_deciles,var_Q,.09006553,.01744927,.0001444,7015
logasset_deciles,d,-.0608371,.01947906,.00747952,7015
logasset_deciles,d_1933,-.05627037,.01922652,.01104332,7015
logasset_deciles,d_1934,-.0305869,.0154125,.06715048,7015
logasset_deciles,d_After,-.00551561,.01687341,.74859322,7015
netinc_deciles,var_Q,.09187405,.01834211,.00019133,7015
netinc_deciles,d,-.05751329,.01870132,.00822517,7015
netinc_deciles,d_1933,-.05528739,.01914371,.01192091,7015
netinc_deciles,d_1934,-.03011488,.02505494,.24931883,7015
netinc_deciles,d_After,-.00232857,.02635308,.93084178,7015
cash_deciles,var_Q,.09122888,.01745633,.00012831,7015
cash_deciles,d,-.06297398,.0195899,.0062366,7015
cash_deciles,d_1933,-.02825506,.01567156,.09295608,7015
cash_deciles,d_1934,-.02355107,.01592501,.16131976,7015
cash_deciles,d_After,-.00356875,.01639537,.83082842,7015
payout_deciles,var_Q,.0922087,.01806762,.00016065,7015
payout_deciles,d,-.06452192,.02018215,.00645924,7015
payout_deciles,d_1933,-.05018977,.0141366,.00319875,7015
payout_deciles,d_1934,-.03146795,.01465684,.04979623,7015
payout_deciles,d_After,-.00981784,.0153917,.53385561,7015
booklev_deciles,var_Q,.09027691,.01732923,.00013226,7015
booklev_deciles,d,-.06027491,.01803031,.00483101,7015
booklev_deciles,d_1933,-.05789166,.01898271,.00865488,7015
booklev_deciles,d_1934,-.01697433,.01729064,.3429062,7015
booklev_deciles,d_After,-.00751527,.01956303,.70663385,7015
marketlev_deciles,var_Q,.09097041,.01783819,.00016177,7015
marketlev_deciles,d,-.0600063,.01855661,.0060044,7015
marketlev_deciles,d_1933,-.0490969,.01776847,.01524616,7015
marketlev_deciles,d_1934,-.01661357,.0160032,.31680326,7015
marketlev_deciles,d_After,-.00409571,.01878898,.83058648,7015
logltl_deciles,var_Q,.08988892,.01742978,.00014556,7015
logltl_deciles,d,-.06064704,.02047018,.01028403,7015
logltl_deciles,d_1933,-.0434467,.01641565,.0191535,7015
logltl_deciles,d_1934,-.01750735,.01603766,.29342242,7015
logltl_deciles,d_After,-.00327104,.01836255,.86116777,7015
