col,term,coef,se,pval,N
all_controls_linear,var_Q,.07795143,.01278174,.00002749,6683
all_controls_linear,d,-.06970528,.03050804,.03844028,6683
all_controls_linear,d_1933,-.02641777,.01513908,.10288443,6683
all_controls_linear,d_1934,-.01094284,.01819886,.55725641,6683
all_controls_linear,d_After,.00474124,.01945259,.81097299,6683
q_deciles,var_Q,.07617362,.01213746,.00002036,6705
q_deciles,d,-.07027673,.02690719,.02050009,6705
q_deciles,d_1933,-.05300746,.01775701,.00983665,6705
q_deciles,d_1934,-.02995585,.01597319,.08175083,6705
q_deciles,d_After,-.00809029,.01751666,.65127511,6705
logasset_deciles,var_Q,.07421111,.01152835,.00001555,6705
logasset_deciles,d,-.07028233,.028283,.02621666,6705
logasset_deciles,d_1933,-.05380703,.0189324,.01305269,6705
logasset_deciles,d_1934,-.03397241,.01767288,.07515753,6705
logasset_deciles,d_After,-.00893279,.01857757,.63805996,6705
netinc_deciles,var_Q,.07635536,.01299333,.00004029,6705
netinc_deciles,d,-.06815033,.02683601,.02359231,6705
netinc_deciles,d_1933,-.0580208,.01902304,.00864931,6705
netinc_deciles,d_1934,-.036192,.02662687,.1955675,6705
netinc_deciles,d_After,-.00491772,.02660961,.85602853,6705
cash_deciles,var_Q,.07601594,.01131276,9.791e-06,6705
cash_deciles,d,-.07348357,.02680241,.01590269,6705
cash_deciles,d_1933,-.0323217,.01720967,.0813532,6705
cash_deciles,d_1934,-.0298927,.01817086,.12220883,6705
cash_deciles,d_After,-.00950195,.01887863,.62256695,6705
payout_deciles,var_Q,.07722753,.01201191,.00001576,6705
payout_deciles,d,-.0731211,.02691451,.01669817,6705
payout_deciles,d_1933,-.04035742,.01362805,.0103116,6705
payout_deciles,d_1934,-.03297837,.01667169,.06794173,6705
payout_deciles,d_After,-.00952446,.01697437,.58359369,6705
booklev_deciles,var_Q,.0750362,.01141673,.00001244,6705
booklev_deciles,d,-.0673422,.02616992,.02209658,6705
booklev_deciles,d_1933,-.05765258,.01786252,.00607792,6705
booklev_deciles,d_1934,-.02157827,.01807432,.25236905,6705
booklev_deciles,d_After,-.00903498,.01979677,.65511189,6705
marketlev_deciles,var_Q,.07514959,.01175528,.00001674,6705
marketlev_deciles,d,-.06884405,.026361,.02050937,6705
marketlev_deciles,d_1933,-.05477261,.01973794,.01489535,6705
marketlev_deciles,d_1934,-.01675093,.01661386,.33044371,6705
marketlev_deciles,d_After,-.00984954,.01966141,.62418437,6705
logltl_deciles,var_Q,.07430167,.01130569,.00001245,6705
logltl_deciles,d,-.06752304,.02706156,.02570563,6705
logltl_deciles,d_1933,-.05220751,.01649721,.0068884,6705
logltl_deciles,d_1934,-.02468348,.01748222,.17981336,6705
logltl_deciles,d_After,-.00958279,.01940845,.62914329,6705
